CompName,Expt,Mannhold_LogP,Atomic_Polarizabilities,Aromatic_Atoms_Count,Aromatic_Bonds_Count,Element_Count,Bond_Polarizabilities,Bond_Count,Eccentric_Connectivity_Index,Fragment_Complexity,VABC_Volume_Descriptor,Hydrogen_Bond_Acceptors,Hydrogen_Bond_Donors,Largest_Chain,Largest_Pi_Chain,Petitjean_Number,Rotatable_Bonds_Count,Lipinski's_Rule_of_Five,Topological_Polar_Surface_Area,Vertex_adjacency_information_magnitude,Molecular_Weight,XLogP,Zagreb_Index,Formal_Charge,Formal_Charge_(pos),Formal_Charge_(neg),Heavy_Atoms_Count,Molar_Mass,SP3_Character
train13,0,1.79,30.4415,11,11,27,17.7385,16,195,574.06,170.5057,5,2,3,13,0.5,5,0,83.72,5,204.1123,1.559,76,0,0,0,15,204.2321,0.0741
train14,0,1.24,29.9379,0,0,27,24.8361,11,156,544.07,181.7369,5,4,10,4,0.4444,10,0,130.69,4.4594,214.0541,-1.866,48,0,0,0,12,214.2243,0.1852
train15,0,1.79,20.4936,6,6,18,7.9504,11,95,214.04,133.1935,3,3,3,11,0.5,4,0,83.55,4.4594,153.0426,0.843,52,0,0,0,11,153.1357,0
train16,0,2.56,61.7587,6,6,53,27.5713,35,586,2144.11,397.881,9,6,3,12,0.4545,10,1,181.62,6.1293,464.0986,0.731,184,0,0,0,32,464.8538,0.1509
train17,0,3.11,76.779,12,12,68,39.665,43,919,3702.12,475.9269,9,6,4,19,0.5,13,2,206.07,6.4263,543.1741,-0.044,220,0,0,0,39,543.5203,0.1765
train18,0,2.23,37.1961,6,6,30,17.4019,23,282,604.07,248.9031,3,1,3,10,0.5,5,0,38.33,5.5236,315.0274,4.633,118,0,0,0,21,315.6754,0.1667
train19,0,2.23,38.4495,6,6,31,17.7905,19,303,619.06,259.9121,3,1,5,11,0.4545,10,0,63.6,5.2479,302.0113,3.337,90,0,0,0,19,303.1384,0.0968
train20,0,3.22,82.8034,12,12,74,53.1846,48,1152,4678.13,497.6625,8,3,2,9,0.5,11,1,160.83,6.585,588.1843,0.775,242,0,0,0,42,588.5577,0.2162
train21,0,2.23,33.7275,10,11,29,18.3345,18,204,628.05,213.0408,3,1,3,14,0.5,5,0,72.19,5.1699,232.0848,3.263,88,0,0,0,17,232.2357,0.1034
train22,0,4.1,95.7337,12,12,85,56.6903,43,975,6184.08,556.3707,6,4,6,10,0.5,16,2,127.2,6.4263,567.3131,5.996,208,0,0,0,40,567.7847,0.2118
train23,0,3.22,59.203,12,12,48,33.437,27,458,2049.04,326.4431,2,1,2,13,0.4545,5,1,65.87,5.7549,356.1381,5.705,128,0,0,0,24,356.5509,0.1667
train24,0,2.56,51.1951,15,16,43,32.2809,26,513,1473.07,292.2336,3,1,3,12,0.4615,9,0,96.31,5.7004,345.1147,0.604,126,0,0,0,24,345.4178,0.1163
train25,0,3.22,70.0985,0,0,66,43.1875,31,694,3619.07,432.6369,7,4,8,4,0.4667,18,1,124.29,5.9542,424.2461,2.275,148,0,0,0,30,424.5286,0.2576
train26,0,2.23,42.7571,6,6,38,30.1849,19,285,1102.06,264.2687,5,1,7,13,0.5,10,0,83.06,5.2479,285.1035,2.287,90,0,0,0,19,285.3608,0.1579
train27,0,2.67,56.6822,16,17,50,32.8718,29,621,2002.08,327.6736,5,3,2,12,0.5,12,0,117.54,5.858,369.1801,2.176,140,0,0,0,27,369.4184,0.1
train28,0,3.44,55.9751,12,12,45,23.1069,29,613,1654.04,335.6959,3,1,0,13,0.5,4,1,54.37,5.858,366.1023,6.306,142,0,0,0,26,366.8382,0.1333
train29,0,2.01,29.7167,0,0,29,19.4073,12,188,628.04,194.1083,4,2,11,3,0.5,10,0,74.6,4.585,188.1049,1.713,50,0,0,0,13,188.2213,0.2414
train30,0,4.1,126.7131,0,0,124,95.1249,54,1229,13224.14,753.5743,14,5,3,3,0.4286,26,2,180.08,6.7549,748.5085,1.888,274,0,0,0,52,748.986,0.2984
train31,0,3.77,95.5517,9,10,83,57.0683,49,1223,6115.11,550.8596,9,3,3,11,0.5,12,1,118.21,6.6147,653.2213,3.791,256,0,0,0,43,654.5952,0.2289
train32,0,2.34,50.2371,0,0,43,27.9049,26,484,1473.08,319.0643,7,3,4,8,0.5,7,0,138.03,5.7004,349.1096,-2.462,128,0,0,0,24,349.4065,0.1628
train33,0,1.13,30.8088,6,6,23,21.2512,18,194,304.1,203.8499,7,2,3,16,0.4286,3,0,135.45,5.1699,294.9488,-0.5,94,0,0,0,17,295.7256,0
train34,0,3.77,70.9494,26,27,55,30.1706,37,811,2425.06,421.201,3,1,3,28,0.4667,8,1,42.21,6.2095,472.1222,8.812,180,0,0,0,33,473.3973,0.0545
train35,0,3.11,61.3018,13,13,54,37.5702,31,505,2324.07,383.7452,2,1,3,18,0.4545,10,0,83.09,5.9542,399.1682,2.956,150,0,0,0,29,399.4378,0.1481
train36,0,3.77,103.3061,28,28,87,60.3079,55,2303,6297.14,603.1039,7,0,4,13,0.4815,15,3,104.7,6.7814,704.2393,6.709,268,0,0,0,49,705.6346,0.1494
train37,0,1.79,68.9065,0,0,69,44.3795,35,753,3985.15,423.4943,15,11,2,0,0.5,17,2,282.61,6.1293,484.2381,-5.486,174,0,0,0,33,484.4994,0.2609
train38,0,3.22,76.3982,17,17,64,45.4158,40,1185,3364.1,449.6117,6,0,3,8,0.4737,10,1,69.06,6.3219,530.1488,4.082,194,0,0,0,36,531.4318,0.1563
train39,0,2.67,38.5743,11,11,32,18.1077,21,315,814.04,228.0391,3,1,3,13,0.5,4,0,59.3,5.3923,255.0895,2.066,102,0,0,0,19,255.2692,0.0938
train40,0,1.46,24.7071,0,0,26,15.3049,11,114,493.06,165.0737,6,6,8,0,0.4286,11,1,121.38,4.4594,182.079,-3.896,50,0,0,0,12,182.172,0.2308
train41,0,2.12,27.2123,6,6,25,13.5517,12,112,493.03,161.6317,2,3,4,7,0.5,6,0,66.48,4.585,167.0946,0.592,56,0,0,0,12,167.2054,0.12
train42,0,2.23,62.6794,16,17,55,33.5246,35,1009,2193.13,387.6309,13,5,8,12,0.4737,14,1,210.54,6.1293,454.1713,-2.668,168,0,0,0,33,454.4401,0.0909
train43,0,4.32,77.0818,6,6,67,41.2002,36,653,4049.03,444.9433,3,1,3,7,0.5,6,0,40.54,6.1699,429.2668,4.656,184,0,0,0,32,429.5948,0.2388
train44,0,3.22,55.007,10,11,48,31.453,27,483,2049.04,307.0055,3,1,2,11,0.5,6,0,45.59,5.7549,324.1838,2.604,132,0,0,0,24,324.4175,0.1875
train45,0,4.1,113.5361,22,22,98,68.4239,53,1775,7751.13,668.1578,11,4,15,6,0.5,24,3,202.26,6.7279,720.3128,3.938,248,0,0,0,50,720.9478,0.1633
train46,0,1.68,50.1531,0,0,34,30.2689,20,246,776.09,310.2131,6,3,3,4,0.375,9,1,95.5,5.3219,618.8088,2.19,98,-1,0,-1,20,618.9537,0.2353
train47,0,1.68,81.6225,0,0,81,52.7835,42,962,5329.19,503.9805,19,14,3,4,0.4667,22,4,283.73,6.3923,583.2813,-4.593,210,0,0,0,40,583.5908,0.2222
train48,0,1.13,15.06,0,0,12,15.18,6,38,79.05,105.2189,3,0,5,3,0.5,4,0,104.38,3.585,140.968,-0.23,28,-1,0,-1,7,141.1916,0.1667
train49,0,2.34,54.5703,16,16,46,29.5717,31,572,1645.1,322.0225,6,2,5,19,0.5,9,0,117.51,5.9542,403.1047,1.865,156,0,0,0,28,403.8203,0.1304
train50,0,3.22,59.6402,0,0,54,33.4838,29,496,2599.05,355.7516,5,2,4,4,0.5,6,0,91.67,5.858,360.1937,0.257,150,0,0,0,26,360.4448,0.2963
train51,0,3.88,75.7096,21,22,65,42.9484,38,1146,3639.06,419.942,3,1,2,10,0.5,10,1,42.32,6.2479,458.2482,5.809,180,0,0,0,34,458.5714,0.1385
train52,0,2.78,57.6714,11,11,48,31.7886,29,545,1951.07,333.335,4,1,3,6,0.5,6,0,52.23,5.858,392.1171,2.974,140,0,0,0,26,393.3108,0.1875
train53,0,4.43,85.2993,18,18,74,46.2607,40,1274,4597.05,497.0588,5,1,5,8,0.5,14,2,66.84,6.3219,499.2723,5.929,190,0,0,0,37,499.6417,0.1622
train54,0,3.11,60.4158,12,12,52,34.5842,29,663,2214.06,358.0228,5,1,6,6,0.4667,10,0,53.01,5.858,388.1554,2.805,134,0,0,0,27,388.8885,0.1538
train55,0,2.23,34.2015,6,6,32,21.5225,15,204,814.04,215.9139,1,2,5,8,0.4444,8,0,62.46,4.9069,211.1208,2.765,68,0,0,0,15,211.258,0.1875
train56,0,2.01,28.0143,6,6,26,17.1497,13,153,520.04,181.3219,1,2,4,8,0.5,6,0,62.46,4.7004,183.0895,2.154,60,0,0,0,13,183.2048,0.1538
train57,0,2.23,45.0985,10,11,40,27.6435,25,405,1258.08,280.6334,5,2,3,15,0.4545,6,0,87.46,5.6439,320.1285,3.57,122,0,0,0,23,320.3195,0.15
train58,0,2.34,49.2993,10,11,44,31.1427,28,494,1466.09,316.3637,4,1,3,15,0.5,9,0,65.78,5.8074,369.13,4.488,138,0,0,0,26,369.339,0.1591
train59,0,1.79,39.7447,11,11,32,21.7953,22,341,669.09,253.4414,6,3,3,14,0.5,8,0,131.01,5.4594,330.0077,1.2,108,0,0,0,21,330.7456,0.0313
train60,0,2.67,60.1758,6,6,52,36.0262,29,577,2214.08,365.8116,6,1,3,6,0.4615,8,0,64.09,5.858,413.1273,1.423,140,0,0,0,27,414.3267,0.2115
train61,0,2.67,56.9298,6,6,52,37.5922,29,540,2214.08,347.5246,6,1,3,6,0.5,8,0,64.09,5.858,381.1864,0.501,140,0,0,0,27,381.4176,0.2115
train62,0,2.89,61.045,6,6,56,41.475,29,577,2662.07,361.4757,6,1,3,7,0.4615,8,0,73.32,5.858,375.2158,0.094,138,0,0,0,27,375.4627,0.2143
train63,0,2.56,59.1866,6,6,54,37.5354,30,643,2380.09,361.3302,6,1,3,9,0.5,7,0,109.91,5.9069,390.1903,0.071,144,0,0,0,28,390.4343,0.2037
train64,0,2.89,61.045,6,6,56,41.475,29,616,2662.07,361.4757,6,1,3,7,0.5,8,0,73.32,5.858,375.2158,0.094,138,0,0,0,27,375.4627,0.2143
train65,0,2.56,59.1866,6,6,54,37.5354,30,602,2380.09,361.3302,6,1,3,9,0.4615,7,0,109.91,5.9069,390.1903,0.071,144,0,0,0,28,390.4343,0.2037
train66,0,2.89,57.1494,6,6,52,37.3726,27,494,2316.06,335.3895,6,1,3,6,0.5,6,0,64.09,5.7549,345.2052,0.179,128,0,0,0,25,345.4367,0.2115
train67,0,2.01,43.5183,11,11,36,26.2017,25,417,938.09,268.8261,6,2,3,21,0.4545,5,0,121.12,5.6439,335.0576,2.575,126,0,0,0,23,335.3368,0.0556
train68,0,4.1,79.0282,18,18,67,41.4138,37,879,3778.05,456.4346,4,1,6,6,0.4667,11,1,43.78,6.2095,476.2231,5.465,180,0,0,0,34,477.0385,0.1493
train69,0,3.33,60.0402,12,12,50,31.7378,30,591,2107.05,351.5357,4,0,5,14,0.4615,4,0,42.43,5.9069,382.1448,3.817,144,0,0,0,27,382.884,0.16
train70,0,2.01,45.6163,11,11,36,27.8857,25,417,938.09,278.5449,7,2,3,21,0.4545,5,0,136.22,5.6439,351.0347,1.715,126,0,0,0,23,351.4034,0.0556
train71,0,2.45,51.0853,10,11,43,31.0167,28,482,1516.08,310.3812,4,1,3,15,0.5,5,0,91.08,5.8074,363.1053,4.166,140,0,0,0,25,363.4083,0.1628
train72,0,2.45,40.3887,6,6,38,23.6173,17,238,1172.04,239.6059,3,4,6,7,0.4444,11,0,72.72,5.0875,239.1521,1.44,82,0,0,0,17,239.3112,0.1842
train73,0,2.67,62.369,6,6,53,35.231,32,645,2324.09,379.1114,7,2,3,6,0.4615,6,0,81.75,6,438.1225,2.218,158,0,0,0,29,439.3362,0.2075
train74,0,2.67,62.369,6,6,53,35.231,32,645,2324.09,379.1114,7,2,3,6,0.4615,6,0,81.75,6,438.1225,2.218,158,0,0,0,29,439.3362,0.2075
train75,0,2.67,58.4734,11,11,49,33.1086,30,593,2002.08,342.1252,5,1,3,6,0.4615,7,0,61.6,5.9069,408.112,2.975,146,0,0,0,27,409.3102,0.1837
train76,0,2.67,61.5094,6,6,54,37.2546,29,579,2434.08,368.4481,6,2,3,6,0.4615,10,0,67.25,5.858,415.1429,0.925,138,0,0,0,27,416.3426,0.2222
train77,0,2.67,58.4734,11,11,49,31.7886,30,593,2002.08,342.1252,5,2,3,6,0.4615,7,0,72.46,5.9069,408.112,1.944,146,0,0,0,27,409.3102,0.1837
train78,0,3.77,68.931,22,23,57,32.049,36,717,2544.06,405.4027,5,2,6,20,0.4615,10,1,88.52,6.1699,440.1736,5.45,170,0,0,0,33,440.4915,0.0702
train79,0,3.99,75.1182,22,23,63,36.4218,38,798,3166.06,439.9946,5,2,6,20,0.5,12,1,88.52,6.2479,468.2049,5.966,178,0,0,0,35,468.5447,0.0952
train80,0,4.54,92.6742,28,29,77,43.5058,48,1338,4669.08,547.0512,7,3,6,20,0.5,14,3,117.62,6.585,587.242,6.712,226,0,0,0,44,587.6657,0.0779
train81,0,4.43,87.9834,28,29,73,42.7746,45,1235,4289.07,508.512,6,2,6,20,0.5,12,3,93.21,6.4919,544.2474,5.934,210,0,0,0,41,544.6442,0.0822
train82,0,4.21,85.797,22,23,73,44.301,43,1034,4447.07,492.7294,6,3,6,20,0.5,11,2,92.35,6.4263,522.2631,5.463,202,0,0,0,39,522.6386,0.1233
train83,0,4.1,73.5786,27,28,60,34.6614,38,762,2974.05,409.7246,4,1,6,19,0.4615,8,1,59.81,6.2479,446.2107,6.107,180,0,0,0,34,446.544,0.0667
train84,0,2.56,56.0294,10,11,50,32.3326,31,508,2053.09,343.5284,5,3,3,16,0.4545,9,0,100.59,5.9542,392.166,4.104,158,0,0,0,28,392.4005,0.18
train85,0,1.9,42.5227,11,11,33,25.6993,24,377,763.09,261.2489,7,2,3,21,0.5,4,0,136.22,5.585,337.0191,1.981,120,0,0,0,22,337.3768,0.0303
train86,0,4.65,86.3625,18,18,76,46.8015,38,1092,5051.03,484.7512,3,2,5,6,0.5,14,1,43.7,6.2479,471.3137,7.105,184,0,0,0,35,471.6746,0.1842
train87,0,1.9,49.6547,0,0,45,31.0493,25,505,1564.1,319.6822,9,4,8,3,0.4615,12,0,175.33,5.6439,359.1151,-2.948,126,0,0,0,24,359.3997,0.2222
train88,0,2.78,57.5139,12,12,50,25.6961,33,613,1939.09,358.5667,6,6,4,19,0.4615,10,1,164.75,6.0444,416.1107,0.077,170,0,0,0,30,416.3789,0.14
train89,0,3.22,59.6402,0,0,54,34.4418,30,508,2714.05,346.0316,5,2,4,4,0.5,5,0,83.83,5.9069,360.1937,0.633,158,0,0,0,26,360.4448,0.3148
train90,0,2.01,46.0903,0,0,39,29.7517,22,401,1180.08,292.318,6,2,7,3,0.5,9,0,137.31,5.4594,330.0708,0.821,110,0,0,0,21,330.4257,0.2051
train91,0,2.67,60.8514,0,0,54,36.6506,31,547,2662.08,354.1487,7,3,3,3,0.4545,7,0,138.03,5.9542,393.1722,-1.277,168,0,0,0,27,393.5022,0.2963
train92,0,1.9,83.3181,0,0,83,53.6499,42,958,5665.18,518.619,18,13,6,3,0.4667,22,3,331.94,6.3923,585.2857,-6.562,206,0,0,0,40,585.6034,0.253
train93,0,1.13,26.5763,6,6,23,11.4437,15,179,319.09,176.8722,8,5,5,14,0.5,6,0,156.79,4.9069,229.0479,-0.311,72,0,0,0,15,229.6272,0
train94,0,3.55,77.543,15,16,60,45.653,33,792,2914.06,438.0161,2,0,6,18,0.5,16,3,42.68,6.0444,645.0237,7.914,156,0,0,0,31,645.3125,0.1667
train95,0,2.89,72.5482,16,17,60,37.1958,41,996,2764.12,441.0705,10,4,6,14,0.5,10,1,187.12,6.3576,521.1369,-0.347,206,0,0,0,37,521.5471,0.1167
train96,0,3.11,91.3601,6,6,83,51.9739,49,1386,5589.15,571.7051,14,8,6,12,0.4737,17,3,231.64,6.6147,630.2537,-0.854,252,0,0,0,45,630.6441,0.1928
train97,0,2.01,78.6205,0,0,78,52.4215,40,1021,5229.16,474.0226,16,11,2,0,0.4706,17,3,283.64,6.3219,539.2803,-4.994,200,0,0,0,37,539.578,0.2692
train98,0,2.12,82.6789,0,0,82,54.0831,40,902,5650.16,503.2451,16,11,6,3,0.4667,20,3,297.27,6.3219,552.3119,-5.856,194,0,0,0,38,552.6199,0.2561
train99,0,2.34,68.9774,6,6,61,39.8866,36,818,2847.13,437.7355,11,6,10,7,0.4667,14,2,216.46,6.1699,493.1631,-3.533,180,0,0,0,34,493.5353,0.1639
train100,0,2.12,63.5698,0,0,63,44.3082,29,525,3340.11,382.964,11,6,5,3,0.5,15,2,192.54,5.858,405.2587,-3.913,142,0,0,0,28,405.4904,0.254
train101,0,4.1,126.7131,0,0,124,95.1249,54,1229,13224.14,753.5743,14,5,3,3,0.4286,26,2,180.08,6.7549,748.5085,1.888,274,0,0,0,52,748.986,0.2984
train102,0,1.24,51.9315,5,5,45,35.4305,29,542,1360.15,344.2963,11,4,8,12,0.5,13,1,238.2,5.858,435.0519,-1.261,148,0,0,0,28,435.4355,0.1333
train103,0,2.56,66.8826,0,0,61,50.0714,32,792,3099.1,411.1016,9,0,9,4,0.4706,13,0,123.04,6,441.1934,2.978,156,0,0,0,30,441.5435,0.2623
train104,0,1.79,69.8713,0,0,70,44.8127,35,753,4128.15,425.7009,15,11,2,0,0.5,17,2,288.4,6.1293,483.254,-5.553,174,0,0,0,33,483.5146,0.2571
train105,0,1.68,34.9119,6,6,33,16.6961,18,305,783.08,224.6554,5,7,7,9,0.4545,10,1,148.07,5.1699,257.1012,-0.113,84,0,0,0,18,257.2436,0.0909
train106,0,3.77,67.913,12,12,61,43.045,29,538,3267.03,379.7557,3,0,9,7,0.5,12,1,15.71,5.858,366.2671,5.225,132,0,0,0,27,366.5405,0.1967
train107,0,4.1,120.5191,0,0,117,88.6369,52,1170,11711.13,722.6451,13,4,3,3,0.4286,24,2,173.68,6.7004,717.4663,1.622,262,0,0,0,50,717.9288,0.2991
train108,0,2.23,42.5887,6,6,40,24.5753,19,291,1258.06,258.9629,5,5,6,11,0.5,10,0,107.61,5.2479,267.1583,0.627,92,0,0,0,19,267.3246,0.15
train109,0,3,65.0614,12,12,54,34.7186,35,752,2257.09,402.0176,7,2,5,9,0.5,10,0,138.31,6.1293,454.1199,3.727,174,0,0,0,32,454.4975,0.1296
train110,0,3.33,73.0086,12,12,61,39.0914,39,902,3035.09,441.5491,7,2,5,9,0.4667,10,0,138.31,6.2854,494.1512,4.62,196,0,0,0,35,494.5615,0.1639
train111,0,3.11,72.8834,12,12,64,35.5626,41,857,3292.11,449.8407,8,6,3,19,0.5,11,2,196.84,6.3576,513.1635,0.243,212,0,0,0,37,513.4943,0.1719
train112,0,0.8,50.8751,5,5,44,34.3649,31,625,1155.18,352.941,14,5,8,12,0.4615,13,1,290.52,5.9542,466.0213,-3.167,152,0,0,0,30,466.4064,0.0909
train113,0,2.12,47.3231,6,6,38,22.8589,26,484,1048.09,303.4429,7,3,4,8,0.5,7,0,138.03,5.7004,367.0394,-1.796,128,0,0,0,24,367.809,0.1053
train114,0,2.01,60.0923,11,11,49,31.7317,34,817,1774.13,371.88,10,3,4,8,0.5,10,0,201.14,6.0875,462.078,0.2,166,0,0,0,31,462.5056,0.1224
train115,0,2.12,64.3191,11,11,51,33.7849,35,922,1924.13,396.6882,9,4,4,8,0.5,11,0,237.58,6.1293,493.0548,-1.494,172,0,0,0,32,493.5837,0.1176
train116,0,1.13,51.7273,5,5,42,32.1547,31,697,1124.16,344.4873,9,2,6,8,0.4667,13,0,206.21,5.9542,470.0113,1.172,154,0,0,0,29,470.4741,0.1667
train117,0,1.79,64.2519,11,11,48,33.8501,36,961,1545.15,420.7144,8,2,3,8,0.5,11,1,213.33,6.1699,546.9612,3.28,178,0,0,0,33,548.447,0.125
train118,0,2.23,62.5523,11,11,49,33.3517,34,852,1774.12,385.6914,9,3,4,8,0.4706,10,0,211.56,6.0875,478.0439,1.145,166,0,0,0,31,478.569,0.1224
train119,0,2.56,86.9414,16,16,71,52.1106,48,1279,3733.17,549.9512,11,2,7,8,0.4706,17,3,276,6.585,661.0971,1.772,234,0,0,0,44,661.7307,0.1408
train120,0,1.68,48.6183,5,5,39,24.9457,28,552,1031.12,317.5922,8,4,5,12,0.4615,8,0,211.75,5.8074,395.0358,-2.081,138,0,0,0,26,395.4162,0.0769
train121,0,1.68,49.9519,5,5,41,29.0481,28,523,1199.12,320.2286,8,3,6,12,0.5,9,0,200.75,5.8074,397.0515,-2.415,138,0,0,0,26,397.4321,0.122
train122,0,1.9,55.5699,10,10,43,30.7321,31,696,1360.12,338.6465,8,3,3,8,0.4667,8,0,207.12,5.9542,437.0286,0.292,150,0,0,0,28,437.5203,0.1163
train123,0,1.35,62.1055,10,10,50,35.4945,36,872,1753.17,388.7873,11,3,6,12,0.5,12,2,269.65,6.1699,511.0515,-2.256,176,0,0,0,33,511.5624,0.12
train124,0,1.35,64.1767,5,5,54,39.5053,35,884,2080.17,412.9036,13,4,8,8,0.4706,16,3,278.76,6.1293,519.0665,-3.718,172,0,0,0,33,519.5795,0.1667
train125,0,1.79,72.3499,10,10,57,41.3521,40,1132,2268.17,458.434,11,4,6,12,0.4737,15,2,304.48,6.3219,584.0276,-2.647,196,0,0,0,37,584.6739,0.1228
train126,0,1.57,65.3983,11,11,53,38.2077,38,1021,1946.17,416.7597,13,4,4,8,0.5,12,2,263.89,6.2479,542.0348,-1.27,188,0,0,0,35,542.5699,0.1132
train127,0,2.12,84.1194,11,11,71,49.0646,48,1451,3733.19,532.047,15,4,6,9,0.5,13,2,270.86,6.585,645.1424,-0.379,236,0,0,0,44,645.6705,0.1408
train128,0,2.01,67.5147,11,11,56,35.3093,38,1025,2291.15,423.6225,12,4,3,8,0.5,13,2,244.23,6.2479,519.0995,-2.471,184,0,0,0,35,519.557,0.125
train129,0,1.68,56.4095,5,5,47,34.1085,32,717,1531.14,369.7646,10,3,6,12,0.4667,12,0,227.05,6,455.0569,-2.712,156,0,0,0,30,455.4683,0.1277
train130,0,1.24,66.9715,5,5,53,38.3705,39,1002,1876.19,439.8695,14,4,5,8,0.4706,13,2,321.13,6.2854,575.0021,-1.477,196,0,0,0,36,575.624,0.1321
train131,0,1.68,68.8242,10,10,57,42.1178,37,1031,2478.16,417.2255,12,3,4,8,0.4737,14,2,251.3,6.2095,525.1035,-3.043,180,0,0,0,34,525.6321,0.1579
train132,0,2.34,80.217,17,17,66,41.229,46,1332,3178.17,498.7235,12,5,6,10,0.4737,14,2,263.36,6.5236,612.1209,-0.931,226,0,0,0,42,612.6406,0.1061
train133,0,1.68,53.8475,5,5,45,33.1505,30,629,1453.13,346.3149,9,3,6,12,0.5,11,0,209.98,5.9069,427.062,-2.933,146,0,0,0,28,427.4581,0.1333
train134,0,2.45,54.5591,6,6,46,27.9049,29,644,1602.09,346.2736,7,4,4,10,0.4667,9,0,158.26,5.858,389.1045,-1.574,142,0,0,0,27,389.4273,0.1087
train135,0,2.67,60.3774,6,6,51,33.8246,32,798,2104.09,370.7156,8,3,3,9,0.5,7,0,136.4,6,414.1362,1.055,156,0,0,0,29,414.4799,0.1569
train136,0,2.23,51.0391,0,0,44,29.8209,27,532,1516.09,327.8545,8,3,4,9,0.4615,8,0,147.26,5.7549,365.1045,-1.9,132,0,0,0,25,365.4059,0.1591
train137,0,2.01,58.2679,6,6,49,36.1341,31,675,1789.12,369.9101,10,4,4,10,0.5,10,0,192.58,5.9542,440.0824,-2.952,156,0,0,0,29,440.4967,0.1224
train138,0,1.46,59.2055,10,10,49,33.2145,35,835,1712.16,370.2783,11,3,6,12,0.5,11,1,244.35,6.1293,479.0794,-2.389,172,0,0,0,32,479.4963,0.1224
train139,0,1.24,51.5895,10,10,40,28.7725,31,696,1093.15,319.7488,11,2,3,8,0.4667,8,1,234.93,5.9542,440.0144,0.428,150,0,0,0,28,440.4844,0.125
train140,0,1.9,64.5895,10,10,51,36.3885,37,946,1794.15,411.6322,9,3,6,12,0.4706,12,1,256.26,6.2095,523.029,-2.103,180,0,0,0,34,523.5666,0.098
train141,0,1.57,71.1183,11,11,57,40.1217,42,1209,2118.19,476.3358,10,4,6,12,0.4737,13,1,310.87,6.3923,594.041,-2.124,204,0,0,0,39,594.6048,0.0877
train142,0,1.57,57.2115,5,5,48,36.2065,33,736,1570.15,378.5548,11,3,6,12,0.4667,12,1,238.03,6.0444,471.0519,-4.741,162,0,0,0,31,471.4677,0.125
train143,0,1.57,46.8583,5,5,38,26.8617,27,500,1000.12,313.8327,7,4,6,12,0.5,7,0,201.48,5.7549,383.0358,1.485,132,0,0,0,25,383.4055,0.1053
