CompName,Expt,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
train11,0,4.5138,132.3624,191.6098,74.16,448.592,448.1933,6,2,10,2,6,0,7,32,60,0,0,4,4,0,0,2,0,0,2,0,0,0.28,19.2447,11.8235,9.1281,6.0336,4.2667,10.6688,8.0229,5.0522,3.5196,-3.03,22.1742,10.523,6.0197,10.8761,41.2608,18.7184,0,22.6474,70.0058,0,10.7724,0,5.9483,0,11.7619,4.4172,0,14.8679,0,18.7184,31.7097,93.7953,0,0,28.4827,19.6178,4.7945,0,16.7459,0,42.4646,42.564,30.4787,12.2976,11.5205,0,5.9483,5.5593,0,25,0,0,0,0,1,0,2,2,1,1,32,12,1,0,11,11,0,10,8,6,2,2,0,0,3,7,1,0,13,8,0,0,0,1,3,0,0,0,0,2,1
train12,0,2.95322,116.4624,171.0643,65.69,399.564,399.2093,6,2,9,2,7,0,7,28,57,0,0,3,2,0,1,2,0,1,0,0,0,0.4286,17.6814,10.6813,8.2867,5.2111,3.5794,9.5266,7.1815,4.2296,2.8323,-2.25,20.4834,10.3368,6.726,10.6336,48.7812,18.7184,6.9237,22.7779,51.6449,0,0,0,0,0,11.7619,4.4172,0,20.5175,4.9924,25.6422,32.9377,65.0132,0,0,17.7214,19.9506,4.984,4.9924,11.7619,0,6.0664,56.7756,30.3883,18.8424,11.5205,5.9596,0,0,0,21,0,0,0,0,1,0,2,3,0,1,28,13,0,0,10,7,0,9,7,6,2,2,0,0,3,7,1,0,11,6,0,0,0,1,2,0,0,0,0,0,0
train13,0,0.5149,58.3531,87.1547,83.72,204.237,204.1123,6,3,2,2,5,0,6,15,27,0,0,2,2,0,0,2,0,0,0,0,0,0.2222,8.5983,4.4823,3.3414,1.9646,1.2055,4.4823,3.3414,1.9646,1.2055,-2.11,9.4452,3.5642,1.8773,10.6336,34.2607,0,0,0,18.3296,0,11.3879,0,11.7662,0,0,0,0,20.1653,0,0,24.7289,18.3296,0,11.3879,11.7662,10.6336,0,10.0827,10.0827,0,0,12.1327,25.8556,0,5.8179,5.8244,5.9483,0,0,9,0,0,0,0,0,0,2,4,0,0,15,5,0,0,6,5,0,2,6,6,3,2,0,0,3,0,1,0,7,4,0,0,0,1,1,0,0,0,0,0,0
train14,0,-0.2493,51.0432,76.0119,95.58,214.227,214.0541,5,5,7,4,4,0,7,12,27,0,0,0,0,0,0,0,0,0,0,0,0,1,8.4819,6.8723,6.0652,3.3758,2.0496,3.6692,2.216,1.096,0.5888,0.42,12.42,6.8849,10.42,11.0505,35.1739,4.565,0,6.4208,0,0,0,0,0,0,18.1794,14.3519,0,5.3168,5.7337,6.4208,25.3871,0,0,0,18.1794,20.8373,0,4.565,0,0,0,30.8921,12.2976,0,0,0,0,0,6.7976,5,0,0,0,0,1,1,2,0,3,0,12,10,1,0,0,0,0,7,8,5,5,4,0,0,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train15,0,0.6726,39.4785,62.8862,83.55,153.137,153.0426,4,4,1,3,3,0,4,11,18,0,0,1,1,0,0,0,0,0,1,0,0,0,5.6121,2.928,2.0817,1.2522,0.7295,2.928,2.0817,1.2522,0.7295,-1.71,7.3976,2.4944,1.4029,5.7337,16.1824,0,0,10.358,18.1991,0,0,0,5.6874,5.7495,0,15.0076,0,0,0,0,5.7337,23.7626,0,5.7495,11.6567,15.9467,0,4.7945,0,0,0,12.1327,11.7538,0,11.313,0,0,0,5.9693,7,0,0,0,0,0,0,1,0,3,0,11,4,1,0,3,3,0,1,7,4,4,3,0,0,4,0,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0
train16,0,0.2649,109.9399,186.3676,181.62,464.858,464.0986,10,7,2,6,9,1,11,32,53,5,5,4,1,0,3,0,0,0,1,0,3,0.381,17.7905,10.0718,8.8758,6.9733,5.5179,9.6938,8.4686,6.6437,5.2487,-2.92,22.2802,7.0408,2.6054,5.7337,73.6445,9.5891,11.8358,28.4462,34.7973,5.0226,0,0,0,5.7495,11.6009,39.9162,0,4.8999,17.5695,24.1677,14.0953,50.9468,0,5.7495,29.0746,31.2663,19.2835,0,0,0,11.6009,32.6489,27.995,17.7093,22.8409,11.3843,5.7832,5.9072,0,21,0,1,0,0,0,0,2,0,8,0,32,11,3,0,16,5,0,2,18,10,7,6,0,0,12,0,2,0,3,14,1,0,0,0,4,0,0,0,0,6,3
train17,0,0.0013,131.7544,222.0814,206.07,543.525,543.1741,12,7,5,6,12,0,12,39,68,6,6,5,2,1,3,0,1,1,2,0,2,0.4444,21.2101,12.4118,10.1599,7.8053,5.7503,12.4118,10.1599,7.8053,5.7503,-3.39,27.1873,9.6625,4.1118,10.4705,86.7399,20.6891,0,68.8391,18.1991,0,0,0,0,17.2485,0,54.1268,0,0,5.7337,62.431,13.7167,51.5798,0,17.2485,17.3497,45.4769,14.3836,0,0,0,12.1327,12.9901,41.9947,42.1121,29.4565,17.8565,5.7832,0,0,27,0,0,0,0,0,0,1,0,10,1,39,13,3,0,21,6,0,5,23,12,7,6,0,0,11,3,1,0,7,16,1,0,0,0,5,0,0,0,0,6,3
train18,0,4.0731,69.7887,122.9633,38.33,315.678,315.0274,3,1,0,1,2,1,7,21,30,1,1,3,1,1,2,0,0,1,1,1,1,0.3571,11.3079,6.5895,5.3634,3.5074,2.224,6.2115,4.927,3.2723,2.0519,-1.87,14.0835,4.5671,2.4221,5.3168,12.2695,10.3379,17.7588,18.4051,18.1991,5.0226,0,0,23.6532,0,11.6009,22.7026,0,0,5.9179,24.619,5.3168,28.7852,0,11.8409,23.3816,4.7369,5.3168,4.7945,13.1712,0,17.5214,36.9612,16.504,5.6874,0,0,0,5.6011,12.2695,14,3,1,0,0,0,0,0,1,1,1,21,7,1,1,11,3,0,0,5,3,1,1,0,0,5,2,0,1,7,5,1,1,0,0,2,0,0,0,0,2,1
train19,0,3.6057,73.3543,120.1338,63.6,303.141,302.0113,4,1,6,1,3,0,6,19,31,0,0,1,1,0,0,0,0,0,1,0,0,0.2308,11.7158,6.187,4.4638,3.2551,1.7704,5.4311,3.7079,2.3905,1.3091,-1.52,15.5372,6.5899,3.7193,4.7369,23.466,4.7945,0,23.7025,24.2848,10.0453,0,0,0,5.7495,23.2019,19.4325,0,0,0,13.3446,6.6069,39.8935,0,5.7495,34.9544,9.8434,4.7945,4.7945,0,0,36.7046,24.1267,5.5635,5.0226,10.7721,12.3901,0,0,5.9693,13,0,2,0,0,0,0,0,0,4,0,19,10,3,0,3,3,0,6,8,4,1,1,0,0,7,3,3,0,2,4,0,0,0,0,1,0,0,0,0,0,0
train20,0,1.3386,138.3454,240.2295,160.83,588.562,588.1843,13,3,5,3,13,0,13,42,74,10,10,7,2,3,5,0,3,4,2,0,1,0.5517,23.1283,13.7771,10.9882,8.7459,6.7354,13.7771,10.9882,8.7459,6.7354,-3.33,27.5001,10.4358,4.2587,18.9475,92.5111,28.4789,11.8358,35.636,24.2655,0,0,0,0,28.7476,0,62.7459,0,0,11.8358,55.9415,34.2263,40.9558,0,28.7476,5.9693,57.9513,4.7945,0,0,0,0,47.8796,11.8358,39.4552,24.4159,35.5781,12.5425,0,5.9693,29,0,0,0,0,0,0,0,0,7,6,42,11,1,0,30,6,0,5,26,13,3,3,0,0,7,3,0,0,13,19,0,0,0,2,5,0,0,0,0,8,4
train21,0,1.42302,63.3733,97.3394,72.19,232.239,232.0848,5,1,2,1,4,0,5,17,29,0,0,2,2,0,0,2,0,0,0,0,0,0.25,9.5973,5.2836,3.7869,2.6317,1.7533,5.2836,3.7869,2.6317,1.7533,-2.17,11.3194,4.0089,1.7958,5.4288,20.6269,6.5448,6.9237,22.9757,23.1241,0,11.0334,0,0,0,0,9.9011,0,9.5511,0,20.3922,0,39.8103,0,0,17.0027,9.6736,4.7945,9.7785,0,0,0,25.9802,18.4355,5.3862,11.2106,0,5.4288,0,5.9693,12,0,0,0,0,0,0,0,2,3,0,17,5,2,0,6,5,0,2,8,5,1,1,0,0,5,1,1,0,4,6,0,0,0,0,2,0,0,0,0,2,1
train22,0,4.74762,160.5925,242.6699,101.9,567.796,567.3131,7,4,9,4,6,2,8,40,85,5,5,4,2,2,2,0,1,1,2,1,1,0.5625,25.0453,15.5156,13.5637,9.3595,7.0888,14.53,12.4703,8.2283,6.0617,-2.55,30.4095,13.4079,8.0153,10.6336,69.4963,4.7945,18.7595,68.7968,53.4264,0,0,0,0,5.7495,11.7619,19.8021,0,15.5335,11.8358,88.4211,18.8424,59.6578,0,5.7495,23.5762,20.8466,14.489,0,0,11.7619,43.5279,76.6379,40.4037,18.1876,5.7495,0,5.9072,5.9072,0,32,0,0,0,0,1,0,2,1,4,0,40,18,2,0,17,6,0,9,11,7,4,4,0,0,8,5,4,1,14,8,0,0,0,0,4,0,0,0,0,2,1
train23,0,5.5434,106.0527,152.9523,15.27,356.56,356.1381,2,1,4,1,4,0,4,24,48,1,1,4,2,1,2,0,1,2,2,0,0,0.4,15.7581,10.8494,8.454,6.802,5.142,8.8082,6.4906,4.9464,3.6323,-1.1,16.3728,7.4225,3.3239,10.2167,25.3871,0,0,25.6833,57.151,0,0,0,11.3748,0,23.5238,0,0,5.3168,0,46.4116,24.2452,42.4646,0,0,34.8985,10.2167,0,0,0,11.7619,30.3154,62.3948,27.273,11.3748,0,0,0,0,0,20,0,0,0,0,2,0,0,2,0,0,24,5,0,0,16,6,0,4,2,2,1,1,0,0,1,3,0,0,13,7,0,0,0,0,4,0,0,0,0,4,2
train24,0,2.89974,93.0211,142.2447,77.1,345.424,345.1147,6,1,5,1,5,0,7,24,43,1,1,3,3,0,0,2,0,0,1,0,0,0.2941,14.8604,8.7624,6.8275,5.062,3.7062,7.4435,5.461,3.9017,2.6061,-2.41,16.4479,6.6043,2.9892,9.4737,33.3804,16.5524,13.8475,16.8208,29.5524,0,11.0334,0,0,11.499,0,13.6826,0,14.9519,0,24.7568,14.2196,41.2168,0,11.499,21.833,14.4577,9.1929,4.984,0,0,0,25.9802,23.3901,47.4993,11.499,5.1564,0,0,0,17,0,0,0,0,1,0,0,3,3,0,24,9,1,0,8,8,0,5,9,6,1,1,0,0,5,3,1,0,7,8,0,0,0,1,2,0,0,0,0,2,1
train25,0,2.4404,111.4432,177.9906,124.29,424.534,424.2461,7,4,10,4,6,0,7,30,66,8,8,2,0,0,2,0,0,0,0,0,2,0.7391,18.1071,10.9823,8.8808,6.4428,4.5203,10.9823,8.8808,6.4428,4.5203,-1.7,24.5684,11.0707,6.6537,0,56.7806,14.3259,23.6716,59.2961,23.8012,0,0,0,0,0,0,34.752,0,0,23.6716,83.712,0,23.8012,0,0,11.9386,25.163,9.5891,0,0,0,38.9993,43.0922,12.3387,30.6506,6.104,0,0,0,11.9386,23,0,0,0,0,0,0,0,0,7,0,30,18,2,0,9,2,0,10,14,7,4,4,0,0,9,6,5,0,4,6,0,0,0,0,2,0,0,0,0,2,1
train26,0,2.1955,72.7421,113.4624,74.68,285.365,285.1035,5,1,7,1,3,0,6,19,38,0,0,1,1,0,0,0,0,0,1,0,0,0.4615,11.9817,7.7059,6.1716,4.5979,3.3935,6.2658,4.2336,2.6851,1.7695,-1.4,15.6568,6.6756,3.7789,0,36.8884,10.0233,0,37.0471,29.161,0,0,0,0,0,0,18.3189,0,4.3052,0,31.5846,13.0895,29.8289,0,0,15.9926,5.1065,0,13.2123,4.3052,0,13.8475,37.1071,13.0895,10.4589,0,0,10.0233,0,5.9693,13,0,0,0,0,1,0,1,0,4,0,19,10,3,0,3,3,0,7,9,5,1,1,0,0,6,4,2,1,4,2,0,0,0,0,1,0,0,0,0,0,0
train27,0,2.74052,106.5245,157.0044,117.54,369.425,369.1801,8,5,6,3,8,0,8,27,50,0,0,3,3,0,0,1,0,0,2,0,0,0.2632,15.7904,8.3314,5.9784,4.429,3.0567,8.3314,5.9784,4.429,3.0567,-3.42,18.3734,7.4458,3.4592,30.9947,31.2973,6.5448,6.9237,11.1269,24.2655,0,10.9029,0,17.4536,17.2485,0,14.2106,0,9.968,0,13.4685,38.1135,35.3924,0,17.2485,28.3565,30.9947,0,4.984,4.984,0,6.0664,24.117,29.7511,26.8461,5.8179,11.499,11.6979,0,0,19,0,0,0,0,0,0,3,2,3,0,27,12,0,0,9,8,0,6,11,8,5,3,0,0,6,5,0,0,6,10,0,0,0,0,3,0,0,0,0,2,1
train28,0,5.5051,100.9088,156.8572,54.37,366.844,366.1023,3,1,2,1,3,0,4,26,45,0,0,4,2,1,2,0,0,0,2,1,2,0.2727,14.9995,9.3079,7.5026,5.86,4.3367,8.9299,7.0662,5.608,4.2107,-2.39,17.0454,6.7298,2.8643,0,16.673,0,5.9179,57.8806,59.8632,5.0226,0,0,0,0,11.6009,14.6956,0,0,5.9179,31.6012,0,81.5762,0,0,23.1674,5.1065,9.5891,0,0,0,47.9991,55.2153,21.7226,0,0,11.5424,5.7832,0,0,22,0,1,0,0,0,0,0,0,3,0,26,4,2,0,16,7,0,2,6,3,1,1,0,0,4,0,0,0,12,10,0,0,0,0,4,0,0,0,0,2,1
train29,0,1.8863,47.5906,77.5703,74.6,188.223,188.1049,4,2,8,2,2,0,4,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0.7778,7.6607,4.5626,3.0552,1.7813,1.0828,4.5626,3.0552,1.7813,1.0828,-1.06,11.94,7.582,10.94,0,22.1517,9.5891,0,44.9458,0,0,0,0,0,0,0,19.8021,0,0,0,44.9458,0,0,0,0,11.9386,10.2131,9.5891,0,0,0,19.2625,12.8416,12.8416,0,0,0,0,0,11.9386,9,0,0,0,0,0,0,0,0,4,0,13,10,2,0,0,0,0,8,8,4,2,2,0,0,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train30,0,1.9007,194.179,311.5582,180.08,748.996,748.5085,14,5,7,5,14,0,14,52,124,18,18,3,0,3,3,0,3,3,0,0,0,0.9737,34.184,19.1425,17.1651,12.2076,8.7366,19.1425,17.1651,12.2076,8.7366,-1.01,45.3799,17.8475,10.0434,0,166.398,33.2157,17.7537,94.9207,0,0,0,0,0,0,0,58.7484,0,9.7998,17.7537,185.2193,34.7976,0,0,0,5.9693,63.7536,4.7945,0,0,0,20.7712,94.7895,38.077,41.5359,30.0169,12.5801,0,0,5.9693,38,0,0,0,0,0,0,1,1,9,3,52,26,1,0,27,0,0,7,26,14,5,5,0,0,20,4,1,0,7,17,3,0,0,0,2,0,0,0,1,0,0
train31,0,3.1928,164.1582,259.4513,118.21,654.606,653.2213,10,3,5,3,6,3,11,43,83,6,6,7,2,3,5,1,3,4,1,0,1,0.5938,26.902,16.2649,14.4771,10.9304,8.7209,15.4719,13.6841,10.2535,8.1472,-2.73,29.0071,9.8871,4.035,5.3168,92.4105,25.5413,17.7537,58.0843,28.8783,0,16.476,0,0,0,15.9299,24.227,0,25.0005,17.7537,83.1398,20.1372,40.0052,0,0,50.1275,20.3072,28.9203,0,0,0,45.9037,77.3452,35.9522,10.5211,12.0837,0,17.5393,11.8182,0,32,0,0,1,0,0,0,1,4,4,1,43,13,3,0,27,6,0,5,15,10,3,3,0,0,10,2,3,0,11,15,2,0,0,3,4,0,0,0,0,10,6
train32,0,0.3486,89.7909,143.1786,112.73,349.412,349.1096,7,4,4,3,5,2,8,24,43,3,3,3,0,1,3,0,1,2,0,0,1,0.4375,14.0067,8.7398,7.1031,5.8017,4.3518,7.691,5.9981,4.3775,3.0591,-2.06,16.7858,6.4457,2.7566,11.0505,51.0005,14.3836,0,19.7654,35.0713,0,0,0,0,0,11.7619,19.4901,0,10.2167,5.7337,37.2229,5.7529,35.0713,0,0,29.5455,16.157,14.489,4.7945,0,11.7619,18.2281,30.9116,5.7529,0,23.1546,0,5.9072,5.9072,5.9693,16,0,0,0,0,1,0,2,1,4,0,24,8,3,0,12,3,0,4,11,7,4,3,0,0,6,1,3,0,7,7,0,0,1,0,2,0,0,0,0,2,1
train33,0,-0.0609,61.2987,102.4004,118.69,295.729,294.9488,7,3,1,2,5,0,10,17,23,0,0,2,1,0,1,0,0,1,1,0,0,0,10.473,7.5364,6.7943,4.7183,3.4335,4.1289,3.1749,2.021,1.2872,-1.16,12.301,3.6675,2.1365,9.8611,23.1741,20.0466,0,0,26.9161,5.0226,0,0,5.6874,0,11.6009,16.8356,0,4.7221,10.1314,9.791,0,17.1554,0,0,43.6734,0,4.7221,26.967,0,0,11.6009,12.1327,0,10.71,16.1295,0,10.0233,10.0233,0,7,0,1,0,0,2,0,1,2,4,0,17,3,4,0,7,4,0,1,11,7,3,2,0,0,6,0,0,1,5,4,1,0,0,0,2,0,0,0,0,2,1
